config,model,quant,backend,status,is_integrated,measurement_mode,latency,power_energy,memory,bandwidth_analysis,sanity,timestamp,hw_log_file
vulkan_Q4_K_M,SmolVLM2-2.2B-Instruct,Q4_K_M,llamacpp,ok,False,gpu_plus_cpu_separate,"{'ttft_ms_mean': 95.0701, 'ttft_ms_p50': 94.965, 'ttft_ms_p95': 95.88615, 'tpot_ms_mean': 15.326846874999998, 'tpot_ms_p50': 15.40673828125, 'tpot_ms_p95': 15.604762890625}","{'avg_total_adjusted_w': 66.95565900970429, 'avg_idle_w': 1.98, 'energy_per_inference_j': 139.82310019390727, 'tokens_per_joule_p50': 0.9154424399293755, 'raw_energy_j': 1398.2310019390727, 'measurement_mode': 'gpu_plus_cpu_separate', 'avg_gpu_w': 34.261101653774496, 'avg_cpu_w': 34.675289447572766, 'raw_gpu_energy_j': 694.9150329390727, 'raw_cpu_energy_j': 703.315969}","{'peak_mem_allocated_gb': 0.26, 'peak_mem_reserved_gb': 0.26, 'cpu_rss_mb': 268.99}",{},"{'warmup_duration_s': 20.8, 'latency': {'total_s': 41.2, 'per_iter_median_s': 2.07, 'per_iter_p95_s': 2.09, 'iter_outliers': []}}",2026-05-29T06:19:35.944399,/home/bokai/capstone/benckmarks/profiling_logs/llamacpp/run_20260529_061800/vulkan_Q4_K_M_power_hw_20260529_061905.csv
vulkan_Q8_0,SmolVLM2-2.2B-Instruct,Q8_0,llamacpp,ok,False,gpu_plus_cpu_separate,"{'ttft_ms_mean': 94.97925000000001, 'ttft_ms_p50': 94.95949999999999, 'ttft_ms_p95': 95.41839999999999, 'tpot_ms_mean': 24.414379687500002, 'tpot_ms_p50': 24.4664296875, 'tpot_ms_p95': 24.546959375}","{'avg_total_adjusted_w': 65.65225057421542, 'avg_idle_w': 1.98, 'energy_per_inference_j': 216.07574530640642, 'tokens_per_joule_p50': 0.592384859385719, 'raw_energy_j': 2160.757453064064, 'measurement_mode': 'gpu_plus_cpu_separate', 'avg_gpu_w': 33.63751690936608, 'avg_cpu_w': 33.99839261003632, 'raw_gpu_energy_j': 1074.6142970640637, 'raw_cpu_energy_j': 1086.143156}","{'peak_mem_allocated_gb': 0.22, 'peak_mem_reserved_gb': 0.22, 'cpu_rss_mb': 224.91}",{},"{'warmup_duration_s': 32.5, 'latency': {'total_s': 64.4, 'per_iter_median_s': 3.23, 'per_iter_p95_s': 3.24, 'iter_outliers': []}}",2026-05-29T06:21:57.474353,/home/bokai/capstone/benckmarks/profiling_logs/llamacpp/run_20260529_061800/vulkan_Q8_0_power_hw_20260529_062115.csv
vulkan_f16,SmolVLM2-2.2B-Instruct,f16,llamacpp,ok,False,gpu_plus_cpu_separate,"{'ttft_ms_mean': 116.50404999999998, 'ttft_ms_p50': 116.5915, 'ttft_ms_p95': 117.2053, 'tpot_ms_mean': 46.66152773437501, 'tpot_ms_p50': 46.662617187500004, 'tpot_ms_p95': 46.702441015625006}","{'avg_total_adjusted_w': 52.7706954921666, 'avg_idle_w': 2.02, 'energy_per_inference_j': 333.18435665054847, 'tokens_per_joule_p50': 0.384171697875508, 'raw_energy_j': 3331.8435665054844, 'measurement_mode': 'gpu_plus_cpu_separate', 'avg_gpu_w': 27.197956219142444, 'avg_cpu_w': 27.594398662003112, 'raw_gpu_energy_j': 1653.8682385054844, 'raw_cpu_energy_j': 1677.975328}","{'peak_mem_allocated_gb': 0.22, 'peak_mem_reserved_gb': 0.22, 'cpu_rss_mb': 225.96}",{},"{'warmup_duration_s': 61.0, 'latency': {'total_s': 121.8, 'per_iter_median_s': 6.09, 'per_iter_p95_s': 6.1, 'iter_outliers': []}}",2026-05-29T06:26:25.171818,/home/bokai/capstone/benckmarks/profiling_logs/llamacpp/run_20260529_061800/vulkan_f16_power_hw_20260529_062514.csv
