timestamp,gpu_power_w
1780037910.7136867,53.249
1780037910.718974,54.016
1780037910.7243578,54.007
1780037910.729664,54.006
1780037910.7349014,54.006
1780037910.7404807,54.006
1780037910.7459161,54.007
1780037910.7512665,54.007
1780037910.7565086,54.006
1780037910.76203,54.006
1780037910.7672708,54.007
1780037910.7729416,54.007
1780037910.7783537,54.006
1780037910.7836332,54.006
1780037910.7888727,54.007
1780037910.7945926,53.245
1780037910.8006644,53.248
1780037910.8066328,53.252
1780037910.8126254,53.251
1780037910.8186183,53.25
1780037910.8245938,53.251
1780037910.8305988,53.251
1780037910.836576,53.251
1780037910.8421164,53.25
1780037910.8476665,53.251
1780037910.8533273,53.251
1780037910.85889,53.251
1780037910.864386,53.25
1780037910.870213,53.251
1780037910.8761313,53.251
1780037910.8816857,53.251
1780037910.8872263,53.25
1780037910.89303,53.251
1780037910.8989923,53.251
1780037910.905021,53.251
1780037910.9110131,53.251
1780037910.917016,53.25
1780037910.9229865,53.251
1780037910.9289784,53.251
1780037910.934942,53.251
1780037910.9409738,53.251
1780037910.946922,53.251
1780037910.9524672,53.251
1780037910.9580011,53.251
1780037910.9637914,53.251
1780037910.9697938,53.251
1780037910.9757938,53.251
1780037910.9818184,53.252
1780037910.9878175,53.251
1780037910.9937718,53.251
1780037910.9998682,53.251
1780037911.0056877,53.252
1780037911.0112708,53.251
1780037911.0168326,53.251
1780037911.022637,53.252
1780037911.0286462,53.252
1780037911.0346437,53.252
1780037911.0406806,53.251
1780037911.0466027,53.252
1780037911.052081,53.252
1780037911.0576203,53.252
1780037911.0633354,53.251
1780037911.0688848,53.252
1780037911.074473,53.252
1780037911.0802135,53.252
1780037911.0861993,53.251
1780037911.0921872,53.252
1780037911.0981398,53.252
1780037911.103706,53.252
1780037911.109264,53.251
1780037911.1150439,53.251
1780037911.121003,53.252
1780037911.1270125,53.252
1780037911.1330264,53.251
1780037911.1389592,53.252
1780037911.1444755,53.252
1780037911.1500227,53.252
1780037911.1557813,53.252
1780037911.1618114,53.252
1780037911.167285,53.252
1780037911.1727793,53.252
1780037911.1785984,53.252
1780037911.184621,53.252
1780037911.1905892,53.252
1780037911.1965678,53.252
1780037911.2025433,53.251
1780037911.2085824,53.251
1780037911.214627,53.252
1780037911.2206485,53.252
1780037911.226527,53.252
1780037911.2326171,53.252
1780037911.238585,53.252
1780037911.244632,53.253
1780037911.2506392,53.252
1780037911.2565608,53.252
1780037911.262046,53.252
1780037911.2673934,53.253
1780037911.2733612,53.252
1780037911.278879,53.252
1780037911.2844388,53.252
1780037911.2901657,53.253
1780037911.295704,53.252
1780037911.301227,53.251
1780037911.3070173,53.252
1780037911.312981,53.253
1780037911.319013,53.253
1780037911.3250494,53.252
1780037911.33105,53.252
1780037911.3369772,53.253
1780037911.3430376,53.253
1780037911.3490088,53.252
1780037911.3548899,53.252
1780037911.3602457,53.252
1780037911.36576,53.252
1780037911.3712635,53.251
1780037911.3768518,53.252
1780037911.3825426,53.253
1780037911.3880856,53.252
1780037911.3936203,53.253
1780037911.3993735,53.253
1780037911.4048781,53.253
1780037911.4104068,53.252
1780037911.4162123,53.252
1780037911.4221416,53.253
1780037911.4277008,53.252
1780037911.4332237,53.252
1780037911.4390264,53.253
1780037911.4449728,53.253
1780037911.4509642,53.252
1780037911.457026,53.252
1780037911.462969,53.252
1780037911.468937,53.253
1780037911.47504,53.253
1780037911.4810014,53.252
1780037911.4868813,53.253
1780037911.492259,53.253
1780037911.4977317,53.253
1780037911.5038164,53.253
1780037911.5098393,53.253
1780037911.5157309,53.253
1780037911.521281,53.253
1780037911.5267828,53.252
1780037911.5325885,53.253
1780037911.5385807,53.253
1780037911.5446372,53.253
1780037911.5505638,53.252
1780037911.5565753,53.253
1780037911.5625577,53.254
1780037911.5685534,53.253
1780037911.574114,53.253
1780037911.5796633,53.253
1780037911.5854073,53.254
1780037911.5908902,53.253
1780037911.5963497,53.252
1780037911.6022208,53.253
1780037911.6082473,53.253
1780037911.6142173,53.253
1780037911.6202364,53.253
1780037911.626277,53.253
1780037911.632191,53.253
1780037911.6376672,53.253
1780037911.6431656,53.252
1780037911.6490357,53.253
1780037911.6549768,53.253
1780037911.660477,53.253
1780037911.6660213,53.253
1780037911.6716955,53.253
1780037911.6772661,53.254
1780037911.6827495,53.252
1780037911.6886032,53.253
1780037911.6945708,53.254
1780037911.7000353,53.253
1780037911.705516,53.253
1780037911.7114272,53.253
1780037911.7173433,53.253
1780037911.7233975,53.253
1780037911.72942,53.253
1780037911.735368,53.253
1780037911.741435,53.254
1780037911.747428,53.254
1780037911.7533844,53.253
1780037911.7588809,53.253
1780037911.7643886,53.254
1780037911.7701197,53.253
1780037911.7756915,53.253
1780037911.7810318,54.02
1780037911.7863715,54.009
1780037911.7918868,54.008
1780037911.7971773,54.009
1780037911.8024905,54.009
1780037911.807725,54.008
1780037911.813282,54.008
1780037911.818519,54.009
1780037911.8240893,54.009
1780037911.8293245,54.008
1780037911.8348858,54.008
1780037911.840119,54.009
