timestamp,gpu_power_w
1780036201.245812,33.072
1780036201.2512217,33.064
1780036201.2565572,33.068
1780036201.2617195,33.065
1780036201.2674875,33.057
1780036201.2729006,33.058
1780036201.27839,33.058
1780036201.2836833,33.061
1780036201.2891684,33.064
1780036201.2944388,33.069
1780036201.2998235,33.076
1780036201.305285,33.077
1780036201.3106167,33.082
1780036201.3160737,33.087
1780036201.3213441,33.098
1780036201.3265507,33.104
1780036201.332361,33.107
1780036201.3376698,33.107
1780036201.3431282,33.109
1780036201.3484204,33.109
1780036201.3539429,33.11
1780036201.359271,33.11
1780036201.3647668,33.112
1780036201.3700726,33.111
1780036201.375548,33.112
1780036201.380832,33.112
1780036201.386447,33.113
1780036201.3916728,33.113
1780036201.397171,33.114
1780036201.4024715,33.114
1780036201.4079623,33.116
1780036201.4132452,33.115
1780036201.418769,33.116
1780036201.4240732,33.115
1780036201.429566,33.116
1780036201.4348722,33.116
1780036201.4403496,33.117
1780036201.4456313,33.118
1780036201.4511492,33.118
1780036201.4564743,33.118
1780036201.461975,33.119
1780036201.4672744,33.119
1780036201.4727309,33.12
1780036201.4780283,33.12
1780036201.4835532,33.121
1780036201.4888737,33.121
1780036201.4943671,33.122
1780036201.4996467,33.121
1780036201.5052204,33.122
1780036201.5104737,33.122
1780036201.515977,33.123
1780036201.5212739,33.122
1780036201.526752,33.123
1780036201.5320435,33.123
1780036201.5376365,33.124
1780036201.542875,33.123
1780036201.548346,33.124
1780036201.5536358,33.124
1780036201.5591104,33.125
1780036201.5644593,33.124
1780036201.569963,33.125
1780036201.5752864,33.124
1780036201.5807247,33.125
1780036201.58603,33.124
1780036201.5915537,33.125
1780036201.5968764,33.125
1780036201.602359,33.126
1780036201.6076486,33.125
1780036201.6132193,33.126
1780036201.6184793,33.126
1780036201.6239665,33.127
1780036201.6292756,33.126
1780036201.6347313,33.128
1780036201.6400323,33.127
1780036201.6455486,33.128
1780036201.6508756,33.128
1780036201.6563594,33.129
1780036201.6616776,33.129
1780036201.6671505,33.13
1780036201.672437,33.13
1780036201.6779485,33.131
1780036201.6832757,33.131
1780036201.688762,33.132
1780036201.6940534,33.132
1780036201.699561,33.132
1780036201.7053592,33.136
1780036201.7106018,33.135
1780036201.71624,33.139
1780036201.7216606,33.137
1780036201.7269704,33.131
1780036201.7321446,33.125
1780036201.7377806,33.12
1780036201.7429576,33.111
1780036201.7487173,33.105
1780036201.754107,33.099
1780036201.759549,33.092
1780036201.7648485,33.088
1780036201.7703102,33.086
1780036201.775682,33.09
1780036201.781193,33.089
1780036201.7864916,33.092
1780036201.7919996,33.092
1780036201.7972786,33.097
1780036201.8026314,33.101
1780036201.808089,33.102
1780036201.813402,33.105
1780036201.818834,33.105
1780036201.8241715,33.109
1780036201.829403,33.109
1780036201.834992,33.113
1780036201.8402207,33.117
1780036201.845931,33.117
1780036201.8512428,33.119
1780036201.8567526,33.121
1780036201.8620808,33.121
1780036201.8675659,33.124
1780036201.8728786,33.124
1780036201.8783476,33.125
1780036201.8836772,33.126
1780036201.889167,33.129
1780036201.8944998,33.133
1780036201.8999603,33.132
1780036201.9052415,33.135
1780036201.9108346,33.134
1780036201.9160988,33.137
1780036201.921602,33.136
1780036201.9268968,33.139
1780036201.9323812,33.138
1780036201.937647,33.141
1780036201.9431932,33.14
1780036201.9484882,33.143
1780036201.953832,33.149
1780036201.959267,33.15
1780036201.9645855,33.152
1780036201.9698167,33.152
1780036201.9754426,33.157
1780036201.9808927,33.156
1780036201.9862232,33.16
1780036201.9916503,33.164
1780036201.9971635,33.166
1780036202.0024827,33.171
1780036202.007971,33.173
1780036202.0132823,33.175
1780036202.0187461,33.176
1780036202.0240347,33.177
1780036202.0295334,33.178
1780036202.0348752,33.178
1780036202.0403426,33.179
1780036202.0456846,33.184
1780036202.0512173,33.183
1780036202.0565033,33.186
1780036202.0620801,33.186
1780036202.0679843,33.188
1780036202.0732827,33.189
1780036202.0787652,33.191
1780036202.0840547,33.191
1780036202.089556,33.191
1780036202.094887,33.192
1780036202.1003532,33.192
1780036202.1056974,33.197
1780036202.111166,33.197
1780036202.1164467,33.199
1780036202.122092,33.199
1780036202.1279972,33.201
1780036202.1332831,33.202
1780036202.1387725,33.204
1780036202.1440833,33.205
1780036202.1495528,33.206
1780036202.1548378,33.206
1780036202.1603622,33.207
1780036202.165688,33.207
1780036202.1709933,33.21
1780036202.1762452,33.213
1780036202.1821265,33.213
1780036202.187935,33.214
1780036202.193217,33.204
1780036202.1985893,33.196
1780036202.203749,33.185
1780036202.2094185,33.177
1780036202.2145805,33.167
1780036202.220244,33.163
1780036202.2256508,33.155
1780036202.2310717,33.152
1780036202.2364933,33.144
1780036202.241856,33.14
1780036202.2472234,33.133
1780036202.2527065,33.133
1780036202.258083,33.134
1780036202.2635784,33.136
1780036202.2689052,33.14
1780036202.2744231,33.14
1780036202.2797008,33.143
1780036202.2852113,33.142
1780036202.2905056,33.146
1780036202.2959764,33.145
1780036202.3012502,33.147
1780036202.3068025,33.147
1780036202.3120875,33.152
1780036202.3174598,33.157
1780036202.3228998,33.157
1780036202.3282356,33.161
1780036202.3336658,33.161
1780036202.3390253,33.164
1780036202.3444886,33.164
1780036202.3497849,33.17
1780036202.3550313,33.17
1780036202.3607423,33.173
1780036202.3660707,33.173
1780036202.371584,33.176
1780036202.3768857,33.176
1780036202.382373,33.177
1780036202.3876655,33.178
1780036202.3931577,33.178
1780036202.3985038,33.184
1780036202.4039865,33.183
1780036202.4093063,33.186
