config,model,quant,backend,status,is_integrated,measurement_mode,latency,power_energy,memory,bandwidth_analysis,sanity,timestamp,hw_log_file
vulkan_Q4_K_M,SmolVLM-Instruct,Q4_K_M,llamacpp,ok,False,gpu_plus_cpu_separate,"{'ttft_ms_mean': 94.9654, 'ttft_ms_p50': 94.8895, 'ttft_ms_p95': 95.55364999999999, 'tpot_ms_mean': 15.540437890625004, 'tpot_ms_p50': 15.53291015625, 'tpot_ms_p95': 15.610594921875}","{'avg_total_adjusted_w': 65.97788467748886, 'avg_idle_w': 1.99, 'energy_per_inference_j': 137.52023720880567, 'tokens_per_joule_p50': 0.9307721001502456, 'raw_energy_j': 1375.2023720880566, 'measurement_mode': 'gpu_plus_cpu_separate', 'avg_gpu_w': 33.7559968033206, 'avg_cpu_w': 34.20926779310152, 'raw_gpu_energy_j': 683.0154660880567, 'raw_cpu_energy_j': 692.186906}","{'peak_mem_allocated_gb': 0.2, 'peak_mem_reserved_gb': 0.2, 'cpu_rss_mb': 202.58}",{},"{'warmup_duration_s': 20.7, 'latency': {'total_s': 41.7, 'per_iter_median_s': 2.09, 'per_iter_p95_s': 2.09, 'iter_outliers': []}}",2026-05-29T06:34:32.668239,/home/bokai/capstone/benckmarks/profiling_logs/llamacpp/run_20260529_063257/vulkan_Q4_K_M_power_hw_20260529_063402.csv
vulkan_Q8_0,SmolVLM-Instruct,Q8_0,llamacpp,ok,False,gpu_plus_cpu_separate,"{'ttft_ms_mean': 94.41335000000001, 'ttft_ms_p50': 94.3375, 'ttft_ms_p95': 95.1482, 'tpot_ms_mean': 24.383587109375, 'tpot_ms_p50': 24.49015625, 'tpot_ms_p95': 24.52488046875}","{'avg_total_adjusted_w': 65.13747372888443, 'avg_idle_w': 2.03, 'energy_per_inference_j': 214.1176708574983, 'tokens_per_joule_p50': 0.5978021313578916, 'raw_energy_j': 2141.176708574983, 'measurement_mode': 'gpu_plus_cpu_separate', 'avg_gpu_w': 33.39100642341091, 'avg_cpu_w': 33.77533607153713, 'raw_gpu_energy_j': 1064.462386574983, 'raw_cpu_energy_j': 1076.714322}","{'peak_mem_allocated_gb': 0.2, 'peak_mem_reserved_gb': 0.2, 'cpu_rss_mb': 202.44}",{},"{'warmup_duration_s': 31.9, 'latency': {'total_s': 64.3, 'per_iter_median_s': 3.23, 'per_iter_p95_s': 3.24, 'iter_outliers': []}}",2026-05-29T06:36:52.895010,/home/bokai/capstone/benckmarks/profiling_logs/llamacpp/run_20260529_063257/vulkan_Q8_0_power_hw_20260529_063611.csv
vulkan_f16,SmolVLM-Instruct,f16,llamacpp,ok,False,gpu_plus_cpu_separate,"{'ttft_ms_mean': 117.13885, 'ttft_ms_p50': 117.1995, 'ttft_ms_p95': 117.94785, 'tpot_ms_mean': 46.753335546875, 'tpot_ms_p50': 46.7564609375, 'tpot_ms_p95': 46.783811328125}","{'avg_total_adjusted_w': 53.122550086637716, 'avg_idle_w': 1.6, 'energy_per_inference_j': 333.9200003068657, 'tokens_per_joule_p50': 0.38332534703632787, 'raw_energy_j': 3339.2000030686568, 'measurement_mode': 'gpu_plus_cpu_separate', 'avg_gpu_w': 27.179030383743218, 'avg_cpu_w': 27.547190495101216, 'raw_gpu_energy_j': 1658.368089068657, 'raw_cpu_energy_j': 1680.831914}","{'peak_mem_allocated_gb': 0.2, 'peak_mem_reserved_gb': 0.2, 'cpu_rss_mb': 203.37}",{},"{'warmup_duration_s': 61.1, 'latency': {'total_s': 122.1, 'per_iter_median_s': 6.1, 'per_iter_p95_s': 6.11, 'iter_outliers': []}}",2026-05-29T06:41:20.143325,/home/bokai/capstone/benckmarks/profiling_logs/llamacpp/run_20260529_063257/vulkan_f16_power_hw_20260529_064009.csv
