timestamp,gpu_power_w
1780038616.8387616,49.241
1780038616.8444943,50.0
1780038616.8496888,50.002
1780038616.8552775,50.006
1780038616.8605053,50.011
1780038616.866082,50.014
1780038616.8713162,50.022
1780038616.8768764,50.023
1780038616.8820937,50.029
1780038616.8877177,50.033
1780038616.8929365,50.038
1780038616.898481,50.042
1780038616.903715,50.048
1780038616.9092789,50.05
1780038616.9144943,50.056
1780038616.9200754,50.059
1780038616.9253044,50.064
1780038616.9309967,50.068
1780038616.9364204,50.075
1780038616.9417226,50.076
1780038616.9469483,50.081
1780038616.95249,50.086
1780038616.957721,50.089
1780038616.963328,50.094
1780038616.9685564,50.1
1780038616.9740841,50.102
1780038616.9792984,50.107
1780038616.9849272,50.11
1780038616.9901612,50.114
1780038616.995686,50.118
1780038617.0009131,50.125
1780038617.006548,50.128
1780038617.0117788,50.131
1780038617.0172944,50.134
1780038617.0225196,50.139
1780038617.0281384,50.143
1780038617.0333676,50.148
1780038617.03895,50.152
1780038617.044377,50.154
1780038617.0497293,50.158
1780038617.0549614,50.163
1780038617.0604832,50.166
1780038617.065714,50.171
1780038617.071352,50.175
1780038617.0765884,50.177
1780038617.0821257,50.181
1780038617.0873578,50.185
1780038617.0930078,50.189
1780038617.0984125,50.192
1780038617.10373,50.198
1780038617.1089678,50.199
1780038617.1145213,50.204
1780038617.1197526,50.208
1780038617.1252863,50.211
1780038617.1306305,50.215
1780038617.1360888,50.22
1780038617.1413105,50.221
1780038617.146934,50.225
1780038617.152172,50.23
1780038617.1576695,50.232
1780038617.1629047,50.237
1780038617.1684859,50.242
1780038617.1737306,50.244
1780038617.1793413,50.247
1780038617.184563,50.251
1780038617.19008,50.253
1780038617.1953096,51.002
1780038617.2009337,51.007
1780038617.2061815,51.009
1780038617.2117338,51.011
1780038617.216962,51.015
1780038617.2225196,51.018
1780038617.2277455,51.022
1780038617.233335,51.025
1780038617.2385728,51.03
1780038617.2441242,51.031
1780038617.2493432,51.035
1780038617.2548935,51.038
1780038617.2601204,51.042
1780038617.2657433,51.044
1780038617.2709873,51.05
1780038617.27649,51.051
1780038617.2817106,51.055
1780038617.2873,51.058
1780038617.2925203,51.061
1780038617.2981386,51.062
1780038617.3033843,51.069
1780038617.3089435,51.069
1780038617.3141658,51.074
1780038617.319747,51.077
1780038617.3249714,51.08
1780038617.330488,51.083
1780038617.3357372,51.088
1780038617.3413048,51.088
1780038617.3465295,51.092
1780038617.3521512,51.095
1780038617.357382,51.098
1780038617.3629322,51.101
1780038617.368167,51.107
1780038617.3737307,51.107
1780038617.378972,51.11
1780038617.3845341,51.113
1780038617.389768,51.116
1780038617.3953242,51.119
1780038617.4005525,51.124
1780038617.4061413,51.125
1780038617.411379,51.128
1780038617.4168758,51.13
1780038617.4221156,51.133
1780038617.427683,51.136
1780038617.4329154,51.141
1780038617.438545,51.143
1780038617.443773,51.144
1780038617.449285,51.147
1780038617.4545245,51.15
1780038617.460125,51.153
1780038617.4653587,51.155
1780038617.470945,51.16
1780038617.47618,51.161
1780038617.481729,51.163
1780038617.4869611,51.167
1780038617.4924862,51.169
1780038617.4977207,51.172
1780038617.5033076,51.176
1780038617.508539,51.177
1780038617.5140932,51.18
1780038617.5193222,51.183
1780038617.5248947,51.185
1780038617.5301483,51.188
1780038617.535745,51.193
1780038617.5409825,51.192
1780038617.5465333,51.195
1780038617.5517673,51.198
1780038617.5573056,51.2
1780038617.5625372,51.204
1780038617.5681078,51.208
1780038617.5733497,51.208
1780038617.578952,51.211
1780038617.5841784,51.214
1780038617.5896842,51.215
1780038617.5949152,51.219
1780038617.600504,51.223
1780038617.6057427,51.224
1780038617.6113493,51.225
1780038617.6168008,51.218
1780038617.6233122,51.215
1780038617.629432,51.211
1780038617.635627,51.211
1780038617.641537,51.21
1780038617.647666,51.209
1780038617.6534967,51.208
1780038617.6597397,51.206
1780038617.665564,51.204
1780038617.671576,51.201
1780038617.67757,51.199
1780038617.68361,51.197
1780038617.689529,51.195
1780038617.6955793,51.194
1780038617.7015848,51.191
1780038617.7076416,51.188
1780038617.7135363,51.186
1780038617.719626,51.184
1780038617.7255857,51.181
1780038617.7315984,51.179
1780038617.737599,51.176
1780038617.7436244,51.174
1780038617.7495482,51.172
1780038617.7555916,51.169
1780038617.7615552,51.166
1780038617.7676318,51.164
1780038617.7735808,51.162
