timestamp,gpu_power_w
1780036010.118857,33.119
1780036010.124322,33.108
1780036010.1296191,33.102
1780036010.1348362,33.094
1780036010.1404881,33.085
1780036010.1459305,33.082
1780036010.1514442,33.075
1780036010.1567452,33.07
1780036010.1621678,33.064
1780036010.1675546,33.058
1780036010.172923,33.055
1780036010.1783345,33.058
1780036010.1836107,33.06
1780036010.188846,33.059
1780036010.1944385,33.066
1780036010.1996732,33.067
1780036010.2053943,33.069
1780036010.2106855,33.068
1780036010.2162032,33.069
1780036010.2215195,33.07
1780036010.227013,33.07
1780036010.2323172,33.071
1780036010.237772,33.072
1780036010.243069,33.073
1780036010.2486012,33.075
1780036010.2539213,33.075
1780036010.2594328,33.078
1780036010.2647276,33.079
1780036010.2701883,33.08
1780036010.2754855,33.081
1780036010.281005,33.083
1780036010.28634,33.084
1780036010.2916365,33.088
1780036010.296881,33.091
1780036010.3027384,33.093
1780036010.308655,33.096
1780036010.3139274,33.097
1780036010.3194177,33.099
1780036010.324724,33.1
1780036010.3301919,33.101
1780036010.3354897,33.102
1780036010.3410041,33.103
1780036010.3463562,33.109
1780036010.3518414,33.108
1780036010.3571367,33.112
1780036010.36272,33.112
1780036010.3685977,33.115
1780036010.3738878,33.116
1780036010.379401,33.118
1780036010.3847246,33.119
1780036010.3902018,33.121
1780036010.395496,33.121
1780036010.4009936,33.122
1780036010.406344,33.124
1780036010.411801,33.126
1780036010.4171438,33.131
1780036010.422612,33.13
1780036010.4278889,33.134
1780036010.4334402,33.133
1780036010.4387438,33.137
1780036010.444227,33.137
1780036010.449541,33.14
1780036010.4550116,33.14
1780036010.4603195,33.142
1780036010.465807,33.147
1780036010.4711204,33.148
1780036010.4764793,33.153
1780036010.4819086,33.154
1780036010.4872215,33.156
1780036010.4924679,33.158
1780036010.4980772,33.163
1780036010.5035317,33.163
1780036010.508914,33.167
1780036010.514339,33.167
1780036010.5196214,33.17
1780036010.524851,33.17
1780036010.5304694,33.176
1780036010.535893,33.177
1780036010.5413997,33.179
1780036010.546689,33.18
1780036010.5522022,33.182
1780036010.557527,33.183
1780036010.563021,33.186
1780036010.5683131,33.187
1780036010.5738099,33.189
1780036010.5791283,33.19
1780036010.5846226,33.192
1780036010.589897,33.182
1780036010.595427,33.179
1780036010.6007,33.17
