config,model,quant,backend,status,is_integrated,measurement_mode,latency,power_energy,memory,bandwidth_analysis,sanity,timestamp,hw_log_file
vulkan_Q4_K_M,SmolVLM-Instruct,Q4_K_M,llamacpp,ok,False,gpu_plus_cpu_separate,"{'ttft_ms_mean': 95.28774999999999, 'ttft_ms_p50': 95.2495, 'ttft_ms_p95': 95.8489, 'tpot_ms_mean': 15.359626171875002, 'tpot_ms_p50': 15.326203125, 'tpot_ms_p95': 15.609182421875}","{'avg_total_adjusted_w': 68.09623171943588, 'avg_idle_w': 2.33, 'energy_per_inference_j': 143.29723688761283, 'tokens_per_joule_p50': 0.8932482075728344, 'raw_energy_j': 1432.9723688761283, 'measurement_mode': 'gpu_plus_cpu_separate', 'avg_gpu_w': 35.011135173242764, 'avg_cpu_w': 35.41215974000952, 'raw_gpu_energy_j': 712.4061628761282, 'raw_cpu_energy_j': 720.566206}","{'peak_mem_allocated_gb': 0.2, 'peak_mem_reserved_gb': 0.2, 'cpu_rss_mb': 201.46}",{},"{'warmup_duration_s': 20.7, 'latency': {'total_s': 41.3, 'per_iter_median_s': 2.06, 'per_iter_p95_s': 2.09, 'iter_outliers': []}}",2026-05-31T09:50:00.832453,/home/bokai/capstone/profiling_logs/llamacpp/run_20260531_094827/vulkan_Q4_K_M_power_hw_20260531_094930.csv
vulkan_Q8_0,SmolVLM-Instruct,Q8_0,llamacpp,ok,False,gpu_plus_cpu_separate,"{'ttft_ms_mean': 94.69665, 'ttft_ms_p50': 94.52350000000001, 'ttft_ms_p95': 95.55325, 'tpot_ms_mean': 24.368342578125002, 'tpot_ms_p50': 24.436406249999997, 'tpot_ms_p95': 24.545069140625003}","{'avg_total_adjusted_w': 67.42559995101186, 'avg_idle_w': 2.07, 'energy_per_inference_j': 222.3147729219978, 'tokens_per_joule_p50': 0.5757602084541209, 'raw_energy_j': 2223.147729219978, 'measurement_mode': 'gpu_plus_cpu_separate', 'avg_gpu_w': 34.53018875590727, 'avg_cpu_w': 34.96844045930654, 'raw_gpu_energy_j': 1104.5643862199777, 'raw_cpu_energy_j': 1118.583343}","{'peak_mem_allocated_gb': 0.2, 'peak_mem_reserved_gb': 0.2, 'cpu_rss_mb': 202.91}",{},"{'warmup_duration_s': 32.2, 'latency': {'total_s': 64.3, 'per_iter_median_s': 3.23, 'per_iter_p95_s': 3.24, 'iter_outliers': []}}",2026-05-31T09:52:20.550338,/home/bokai/capstone/profiling_logs/llamacpp/run_20260531_094827/vulkan_Q8_0_power_hw_20260531_095138.csv
vulkan_f16,SmolVLM-Instruct,f16,llamacpp,ok,False,gpu_plus_cpu_separate,"{'ttft_ms_mean': 115.57379999999998, 'ttft_ms_p50': 115.688, 'ttft_ms_p95': 116.44465000000001, 'tpot_ms_mean': 46.749975390624996, 'tpot_ms_p50': 46.746113281250004, 'tpot_ms_p95': 46.7986890625}","{'avg_total_adjusted_w': 53.28875360048251, 'avg_idle_w': 2.16, 'energy_per_inference_j': 338.2762097799765, 'tokens_per_joule_p50': 0.37838900962989525, 'raw_energy_j': 3382.7620977997653, 'measurement_mode': 'gpu_plus_cpu_separate', 'avg_gpu_w': 27.48958162813975, 'avg_cpu_w': 27.963019501414934, 'raw_gpu_energy_j': 1676.9405387997654, 'raw_cpu_energy_j': 1705.821559}","{'peak_mem_allocated_gb': 0.2, 'peak_mem_reserved_gb': 0.2, 'cpu_rss_mb': 201.95}",{},"{'warmup_duration_s': 61.1, 'latency': {'total_s': 122.0, 'per_iter_median_s': 6.1, 'per_iter_p95_s': 6.11, 'iter_outliers': []}}",2026-05-31T09:56:46.207395,/home/bokai/capstone/profiling_logs/llamacpp/run_20260531_094827/vulkan_f16_power_hw_20260531_095535.csv
